date,bet_type,home,away,team_abbrev,americanOdds,decimalOdds,stakePCT,wagerPCT,PLUS_MINUS,Total,spread,WIN-LOSS-PUSH
2023-10-27,SPREAD,DAL,BKN,BKN,-105.0,1.95,64.87,62.8,-5.0,245.0,5.5,1.0
2023-10-27,SPREAD,DAL,BKN,DAL,-115.0,1.87,35.13,37.2,5.0,245.0,-5.5,0.0
2023-10-27,SPREAD,UTA,LAC,LAC,-105.0,1.95,51.96,50.93,-2.0,238.0,-4.5,0.0
2023-10-27,SPREAD,UTA,LAC,UTA,-115.0,1.87,48.04,49.07,2.0,238.0,4.5,1.0
2023-10-27,SPREAD,POR,ORL,ORL,-115.0,1.87,43.97,44.58,5.0,199.0,-3.5,1.0
2023-10-27,SPREAD,POR,ORL,POR,-105.0,1.95,56.03,55.42,-5.0,199.0,3.5,0.0
2023-10-27,SPREAD,SAC,GSW,GSW,-115.0,1.87,,,8.0,236.0,3.5,1.0
2023-10-27,SPREAD,SAC,GSW,SAC,-105.0,1.95,,,-8.0,236.0,-3.5,0.0
2023-10-28,SPREAD,NOP,NYK,NYK,-115.0,1.87,55.46,68.21,-9.0,183.0,3.5,0.0
2023-10-28,SPREAD,NOP,NYK,NOP,-105.0,1.95,44.54,31.79,9.0,183.0,-3.5,1.0
2023-10-28,SPREAD,DET,CHI,CHI,-110.0,1.91,43.44,42.47,-16.0,220.0,-2.5,0.0
2023-10-28,SPREAD,DET,CHI,DET,-110.0,1.91,56.56,57.53,16.0,220.0,2.5,1.0
2023-10-28,SPREAD,WAS,MEM,MEM,-120.0,1.83,28.7,30.01,-7.0,219.0,1.5,0.0
2023-10-28,SPREAD,WAS,MEM,WAS,100.0,2.0,71.3,69.99,7.0,219.0,-1.5,1.0
2023-10-28,SPREAD,CLE,IND,IND,-110.0,1.91,71.17,67.27,12.0,238.0,-3.5,1.0
2023-10-28,SPREAD,CLE,IND,CLE,-110.0,1.91,28.83,32.73,-12.0,238.0,3.5,0.0
2023-10-28,SPREAD,TOR,PHI,PHI,-115.0,1.87,43.76,30.42,7.0,221.0,-4.5,1.0
2023-10-28,SPREAD,TOR,PHI,TOR,-105.0,1.95,56.24,69.58,-7.0,221.0,4.5,0.0
2023-10-28,SPREAD,MIN,MIA,MIA,-115.0,1.87,70.05,78.78,-16.0,196.0,8.5,0.0
2023-10-28,SPREAD,MIN,MIA,MIN,-105.0,1.95,29.95,21.22,16.0,196.0,-8.5,1.0
2023-10-28,SPREAD,PHX,UTA,UTA,-110.0,1.91,76.39,74.42,-22.0,230.0,5.5,0.0
2023-10-28,SPREAD,PHX,UTA,PHX,-110.0,1.91,23.61,25.58,22.0,230.0,-5.5,1.0
2023-10-29,SPREAD,OKC,DEN,DEN,-115.0,1.87,60.45,61.05,33.0,223.0,-3.5,1.0
2023-10-29,SPREAD,OKC,DEN,OKC,-105.0,1.95,39.55,38.95,-33.0,223.0,3.5,0.0
2023-10-29,SPREAD,HOU,GSW,GSW,-115.0,1.87,66.37,64.21,11.0,201.0,-6.5,1.0
2023-10-29,SPREAD,HOU,GSW,HOU,-105.0,1.95,33.63,35.79,-11.0,201.0,6.5,0.0
2023-10-29,SPREAD,MIL,ATL,ATL,-115.0,1.87,40.75,43.96,17.0,237.0,6.5,1.0
2023-10-29,SPREAD,MIL,ATL,MIL,-105.0,1.95,59.25,56.04,-17.0,237.0,-6.5,0.0
2023-10-29,SPREAD,PHI,POR,POR,-110.0,1.91,37.33,41.29,-28.0,224.0,9.5,0.0
2023-10-29,SPREAD,PHI,POR,PHI,-110.0,1.91,62.67,58.71,28.0,224.0,-9.5,1.0
2023-10-29,SPREAD,LAC,SAS,SAS,-105.0,1.95,74.62,75.2,-40.0,206.0,9.5,0.0
2023-10-29,SPREAD,LAC,SAS,LAC,-115.0,1.87,25.38,24.8,40.0,206.0,-9.5,1.0
2023-10-29,SPREAD,SAC,LAL,LAL,-110.0,1.91,50.18,58.13,-5.0,259.0,2.5,0.0
2023-10-29,SPREAD,SAC,LAL,SAC,-110.0,1.91,49.82,41.87,5.0,259.0,-2.5,1.0
2023-10-30,SPREAD,IND,CHI,CHI,-110.0,1.91,37.12,42.71,7.0,217.0,3.5,1.0
2023-10-30,SPREAD,IND,CHI,IND,-110.0,1.91,62.88,57.29,-7.0,217.0,-3.5,0.0
2023-10-30,SPREAD,WAS,BOS,BOS,-110.0,1.91,50.58,47.65,19.0,233.0,-10.5,1.0
2023-10-30,SPREAD,WAS,BOS,WAS,-110.0,1.91,49.42,52.35,-19.0,233.0,10.5,0.0
2023-10-30,SPREAD,CHA,BKN,BKN,-110.0,1.91,84.08,82.53,12.0,254.0,-1.5,1.0
2023-10-30,SPREAD,CHA,BKN,CHA,-110.0,1.91,15.92,17.47,-12.0,254.0,1.5,0.0
2023-10-30,SPREAD,ATL,MIN,MIN,-115.0,1.87,38.76,40.74,-14.0,240.0,-1.5,0.0
2023-10-30,SPREAD,ATL,MIN,ATL,-105.0,1.95,61.24,59.26,14.0,240.0,1.5,1.0
2023-10-30,SPREAD,TOR,POR,POR,-105.0,1.95,33.57,36.78,8.0,190.0,9.5,1.0
2023-10-30,SPREAD,TOR,POR,TOR,-115.0,1.87,66.43,63.22,-8.0,190.0,-9.5,0.0
2023-10-30,SPREAD,NOP,GSW,GSW,-110.0,1.91,80.09,79.37,28.0,232.0,2.5,1.0
2023-10-30,SPREAD,NOP,GSW,NOP,-110.0,1.91,19.91,20.63,-28.0,232.0,-2.5,0.0
2023-10-30,SPREAD,MIL,MIA,MIA,-115.0,1.87,,,-8.0,236.0,8.5,1.0
2023-10-30,SPREAD,MIL,MIA,MIL,-105.0,1.95,,,8.0,236.0,-8.5,0.0
2023-10-30,SPREAD,OKC,DET,DET,-110.0,1.91,65.56,65.98,-12.0,236.0,6.5,0.0
2023-10-30,SPREAD,OKC,DET,OKC,-110.0,1.91,34.44,34.02,12.0,236.0,-6.5,1.0
2023-10-30,SPREAD,MEM,DAL,DAL,-110.0,1.91,70.61,72.52,15.0,235.0,1.5,1.0
